Source,Target,Type
CPB,KFT,Undirected
CCE,KFT,Undirected
CVS,KFT,Undirected
DF,KFT,Undirected
EL,KFT,Undirected
GIS,KFT,Undirected
HNZ,KFT,Undirected
K,KFT,Undirected
KMB,KFT,Undirected
MO,KR,Undirected
KO,KR,Undirected
CCE,KR,Undirected
STZ,KR,Undirected
COST,KR,Undirected
HRL,KR,Undirected
KFT,KR,Undirected
ADM,MKC,Undirected
CPB,MKC,Undirected
KO,MKC,Undirected
CCE,MKC,Undirected
CL,MKC,Undirected
STZ,MKC,Undirected
GIS,MKC,Undirected
HNZ,MKC,Undirected
HRL,MKC,Undirected
K,MKC,Undirected
KMB,MKC,Undirected
KO,TAP,Undirected
CCE,TAP,Undirected
CL,TAP,Undirected
STZ,TAP,Undirected
COST,TAP,Undirected
GIS,TAP,Undirected
HNZ,TAP,Undirected
MKC,TAP,Undirected
MO,PEP,Undirected
CPB,PEP,Undirected
CLX,PEP,Undirected
KO,PEP,Undirected
CCE,PEP,Undirected
CL,PEP,Undirected
COST,PEP,Undirected
CVS,PEP,Undirected
HNZ,PEP,Undirected
K,PEP,Undirected
KMB,PEP,Undirected
KFT,PEP,Undirected
MKC,PEP,Undirected
ADM,PG,Undirected
AVP,PG,Undirected
CPB,PG,Undirected
CLX,PG,Undirected
KO,PG,Undirected
CCE,PG,Undirected
CL,PG,Undirected
STZ,PG,Undirected
CVS,PG,Undirected
DF,PG,Undirected
EL,PG,Undirected
GIS,PG,Undirected
HNZ,PG,Undirected
K,PG,Undirected
KMB,PG,Undirected
KFT,PG,Undirected
MKC,PG,Undirected
PEP,PG,Undirected
MO,RAI,Undirected
AVP,RAI,Undirected
CPB,RAI,Undirected
CCE,RAI,Undirected
STZ,RAI,Undirected
HNZ,RAI,Undirected
MKC,RAI,Undirected
PEP,RAI,Undirected
PG,RAI,Undirected
CPB,SWY,Undirected
KO,SWY,Undirected
CL,SWY,Undirected
CVS,SWY,Undirected
GIS,SWY,Undirected
KMB,SWY,Undirected
KR,SWY,Undirected
TAP,SWY,Undirected
MO,SLE,Undirected
ADM,SLE,Undirected
AVP,SLE,Undirected
CPB,SLE,Undirected
CL,SLE,Undirected
COST,SLE,Undirected
GIS,SLE,Undirected
HNZ,SLE,Undirected
K,SLE,Undirected
KMB,SLE,Undirected
KFT,SLE,Undirected
KR,SLE,Undirected
MKC,SLE,Undirected
TAP,SLE,Undirected
PEP,SLE,Undirected
SWY,SLE,Undirected
CPB,SJM,Undirected
KO,SJM,Undirected
CL,SJM,Undirected
STZ,SJM,Undirected
DF,SJM,Undirected
GIS,SJM,Undirected
HRL,SJM,Undirected
K,SJM,Undirected
KFT,SJM,Undirected
PG,SJM,Undirected
SWY,SJM,Undirected
CCE,SVU,Undirected
COST,SVU,Undirected
EL,SVU,Undirected
HRL,SVU,Undirected
K,SVU,Undirected
KR,SVU,Undirected
MKC,SVU,Undirected
SWY,SVU,Undirected
SLE,SVU,Undirected
ADM,SYY,Undirected
CPB,SYY,Undirected
KO,SYY,Undirected
CCE,SYY,Undirected
CL,SYY,Undirected
COST,SYY,Undirected
HNZ,SYY,Undirected
HRL,SYY,Undirected
K,SYY,Undirected
KMB,SYY,Undirected
KFT,SYY,Undirected
KR,SYY,Undirected
MKC,SYY,Undirected
TAP,SYY,Undirected
PEP,SYY,Undirected
PG,SYY,Undirected
SWY,SYY,Undirected
SLE,SYY,Undirected
SJM,SYY,Undirected
SVU,SYY,Undirected
MO,HSY,Undirected
ADM,HSY,Undirected
AVP,HSY,Undirected
CPB,HSY,Undirected
KO,HSY,Undirected
CL,HSY,Undirected
STZ,HSY,Undirected
DF,HSY,Undirected
GIS,HSY,Undirected
HNZ,HSY,Undirected
HRL,HSY,Undirected
K,HSY,Undirected
KMB,HSY,Undirected
KR,HSY,Undirected
MKC,HSY,Undirected
TAP,HSY,Undirected
PEP,HSY,Undirected
RAI,HSY,Undirected
SYY,HSY,Undirected
CPB,TSN,Undirected
CLX,TSN,Undirected
KO,TSN,Undirected
DF,TSN,Undirected
GIS,TSN,Undirected
HNZ,TSN,Undirected
HRL,TSN,Undirected
K,TSN,Undirected
KMB,TSN,Undirected
KFT,TSN,Undirected
MKC,TSN,Undirected
TAP,TSN,Undirected
PEP,TSN,Undirected
SWY,TSN,Undirected
SLE,TSN,Undirected
SVU,TSN,Undirected
HSY,TSN,Undirected
ADM,WMT,Undirected
AVP,WMT,Undirected
CPB,WMT,Undirected
CLX,WMT,Undirected
CCE,WMT,Undirected
CL,WMT,Undirected
COST,WMT,Undirected
CVS,WMT,Undirected
DF,WMT,Undirected
HNZ,WMT,Undirected
HRL,WMT,Undirected
K,WMT,Undirected
KMB,WMT,Undirected
KR,WMT,Undirected
TAP,WMT,Undirected
PEP,WMT,Undirected
PG,WMT,Undirected
RAI,WMT,Undirected
SLE,WMT,Undirected
SVU,WMT,Undirected
SYY,WMT,Undirected
HSY,WMT,Undirected
TSN,WMT,Undirected
MO,WAG,Undirected
AVP,WAG,Undirected
CPB,WAG,Undirected
CLX,WAG,Undirected
KO,WAG,Undirected
CL,WAG,Undirected
COST,WAG,Undirected
CVS,WAG,Undirected
K,WAG,Undirected
KR,WAG,Undirected
MKC,WAG,Undirected
PEP,WAG,Undirected
PG,WAG,Undirected
RAI,WAG,Undirected
SLE,WAG,Undirected
SYY,WAG,Undirected
HSY,WAG,Undirected
WMT,WAG,Undirected
KO,WFM,Undirected
COST,WFM,Undirected
CVS,WFM,Undirected
DF,WFM,Undirected
EL,WFM,Undirected
HNZ,WFM,Undirected
KR,WFM,Undirected
MKC,WFM,Undirected
SWY,WFM,Undirected
SVU,WFM,Undirected
SYY,WFM,Undirected
HSY,WFM,Undirected
TSN,WFM,Undirected
WMT,WFM,Undirected
MO,AES,Undirected
AVP,AES,Undirected
K,AES,Undirected
KMB,AES,Undirected
TSN,AES,Undirected
WAG,AES,Undirected
CLX,AEE,Undirected
KMB,AEE,Undirected
TAP,AEE,Undirected
RAI,AEE,Undirected
SYY,AEE,Undirected
WMT,AEE,Undirected
AES,AEE,Undirected
KO,AEP,Undirected
EL,AEP,Undirected
HNZ,AEP,Undirected
K,AEP,Undirected
KR,AEP,Undirected
RAI,AEP,Undirected
SWY,AEP,Undirected
TSN,AEP,Undirected
WFM,AEP,Undirected
AEE,AEP,Undirected
CLX,CNP,Undirected
HNZ,CNP,Undirected
HRL,CNP,Undirected
PEP,CNP,Undirected
PG,CNP,Undirected
AES,CNP,Undirected
AEE,CNP,Undirected
AEP,CNP,Undirected
AVP,CMS,Undirected
CPB,CMS,Undirected
CL,CMS,Undirected
GIS,CMS,Undirected
SLE,CMS,Undirected
SYY,CMS,Undirected
TSN,CMS,Undirected
WMT,CMS,Undirected
WFM,CMS,Undirected
CNP,CMS,Undirected
KO,ED,Undirected
CL,ED,Undirected
COST,ED,Undirected
EL,ED,Undirected
HNZ,ED,Undirected
HRL,ED,Undirected
MKC,ED,Undirected
AEE,ED,Undirected
AEP,ED,Undirected
CNP,ED,Undirected
CMS,ED,Undirected
SJM,CEG,Undirected
HSY,CEG,Undirected
AEE,CEG,Undirected
AEP,CEG,Undirected
CMS,CEG,Undirected
KO,D,Undirected
CL,D,Undirected
COST,D,Undirected
CVS,D,Undirected
DF,D,Undirected
KR,D,Undirected
PEP,D,Undirected
SWY,D,Undirected
WMT,D,Undirected
AES,D,Undirected
AEE,D,Undirected
AEP,D,Undirected
ED,D,Undirected
CEG,D,Undirected
CPB,DTE,Undirected
KO,DTE,Undirected
COST,DTE,Undirected
CVS,DTE,Undirected
GIS,DTE,Undirected
K,DTE,Undirected
KR,DTE,Undirected
PEP,DTE,Undirected
RAI,DTE,Undirected
SWY,DTE,Undirected
SYY,DTE,Undirected
HSY,DTE,Undirected
WMT,DTE,Undirected
AES,DTE,Undirected
AEE,DTE,Undirected
AEP,DTE,Undirected
CMS,DTE,Undirected
ED,DTE,Undirected
CEG,DTE,Undirected
D,DTE,Undirected
CPB,DUK,Undirected
STZ,DUK,Undirected
HNZ,DUK,Undirected
AEE,DUK,Undirected
AEP,DUK,Undirected
CNP,DUK,Undirected
ED,DUK,Undirected
D,DUK,Undirected
AVP,EIX,Undirected
CLX,EIX,Undirected
KO,EIX,Undirected
CL,EIX,Undirected
STZ,EIX,Undirected
DF,EIX,Undirected
HNZ,EIX,Undirected
KMB,EIX,Undirected
SJM,EIX,Undirected
AES,EIX,Undirected
CMS,EIX,Undirected
CEG,EIX,Undirected
D,EIX,Undirected
DTE,EIX,Undirected
AVP,ETR,Undirected
CLX,ETR,Undirected
DF,ETR,Undirected
GIS,ETR,Undirected
HNZ,ETR,Undirected
HRL,ETR,Undirected
KMB,ETR,Undirected
KFT,ETR,Undirected
PEP,ETR,Undirected
SLE,ETR,Undirected
SVU,ETR,Undirected
HSY,ETR,Undirected
TSN,ETR,Undirected
WMT,ETR,Undirected
AEE,ETR,Undirected
AEP,ETR,Undirected
CNP,ETR,Undirected
CMS,ETR,Undirected
ED,ETR,Undirected
CEG,ETR,Undirected
DTE,ETR,Undirected
DUK,ETR,Undirected
EIX,ETR,Undirected
STZ,EQT,Undirected
CVS,EQT,Undirected
DF,EQT,Undirected
EL,EQT,Undirected
HNZ,EQT,Undirected
KMB,EQT,Undirected
MKC,EQT,Undirected
PEP,EQT,Undirected
SJM,EQT,Undirected
HSY,EQT,Undirected
WAG,EQT,Undirected
CMS,EQT,Undirected
ED,EQT,Undirected
D,EQT,Undirected
DTE,EQT,Undirected
DUK,EQT,Undirected
ETR,EQT,Undirected
AVP,EXC,Undirected
CPB,EXC,Undirected
KO,EXC,Undirected
COST,EXC,Undirected
HNZ,EXC,Undirected
MKC,EXC,Undirected
RAI,EXC,Undirected
HSY,EXC,Undirected
WAG,EXC,Undirected
AES,EXC,Undirected
AEE,EXC,Undirected
ED,EXC,Undirected
CEG,EXC,Undirected
D,EXC,Undirected
DTE,EXC,Undirected
DUK,EXC,Undirected
ETR,EXC,Undirected
ADM,FE,Undirected
KO,FE,Undirected
PG,FE,Undirected
AEE,FE,Undirected
AEP,FE,Undirected
CNP,FE,Undirected
CMS,FE,Undirected
CEG,FE,Undirected
DTE,FE,Undirected
EIX,FE,Undirected
ETR,FE,Undirected
EXC,FE,Undirected
MO,TEG,Undirected
AVP,TEG,Undirected
CPB,TEG,Undirected
KO,TEG,Undirected
STZ,TEG,Undirected
HRL,TEG,Undirected
K,TEG,Undirected
KFT,TEG,Undirected
KR,TEG,Undirected
SYY,TEG,Undirected
HSY,TEG,Undirected
AES,TEG,Undirected
AEE,TEG,Undirected
CNP,TEG,Undirected
D,TEG,Undirected
DTE,TEG,Undirected
EQT,TEG,Undirected
EXC,TEG,Undirected
FE,TEG,Undirected
KO,NEE,Undirected
WMT,NEE,Undirected
AES,NEE,Undirected
AEE,NEE,Undirected
AEP,NEE,Undirected
CNP,NEE,Undirected
ED,NEE,Undirected
CEG,NEE,Undirected
D,NEE,Undirected
DTE,NEE,Undirected
DUK,NEE,Undirected
EIX,NEE,Undirected
ETR,NEE,Undirected
EXC,NEE,Undirected
FE,NEE,Undirected
MO,GAS,Undirected
ADM,GAS,Undirected
CPB,GAS,Undirected
STZ,GAS,Undirected
COST,GAS,Undirected
HNZ,GAS,Undirected
HRL,GAS,Undirected
K,GAS,Undirected
KMB,GAS,Undirected
KFT,GAS,Undirected
KR,GAS,Undirected
TAP,GAS,Undirected
RAI,GAS,Undirected
SWY,GAS,Undirected
SJM,GAS,Undirected
SVU,GAS,Undirected
SYY,GAS,Undirected
TSN,GAS,Undirected
WMT,GAS,Undirected
WFM,GAS,Undirected
CMS,GAS,Undirected
D,GAS,Undirected
DTE,GAS,Undirected
DUK,GAS,Undirected
EIX,GAS,Undirected
ETR,GAS,Undirected
EQT,GAS,Undirected
TEG,GAS,Undirected
NEE,GAS,Undirected
ADM,NI,Undirected
CLX,NI,Undirected
COST,NI,Undirected
HRL,NI,Undirected
KR,NI,Undirected
PEP,NI,Undirected
SLE,NI,Undirected
SJM,NI,Undirected
TSN,NI,Undirected
WMT,NI,Undirected
WFM,NI,Undirected
AEE,NI,Undirected
AEP,NI,Undirected
CNP,NI,Undirected
ED,NI,Undirected
CEG,NI,Undirected
ETR,NI,Undirected
EQT,NI,Undirected
EXC,NI,Undirected
FE,NI,Undirected
TEG,NI,Undirected
NEE,NI,Undirected
GAS,NI,Undirected
MO,NU,Undirected
KO,NU,Undirected
CVS,NU,Undirected
HRL,NU,Undirected
KFT,NU,Undirected
MKC,NU,Undirected
RAI,NU,Undirected
SLE,NU,Undirected
WMT,NU,Undirected
AES,NU,Undirected
AEE,NU,Undirected
AEP,NU,Undirected
CNP,NU,Undirected
CMS,NU,Undirected
CEG,NU,Undirected
D,NU,Undirected
DTE,NU,Undirected
DUK,NU,Undirected
EIX,NU,Undirected
ETR,NU,Undirected
EXC,NU,Undirected
FE,NU,Undirected
TEG,NU,Undirected
GAS,NU,Undirected
TAP,OKE,Undirected
SJM,OKE,Undirected
AES,OKE,Undirected
AEP,OKE,Undirected
ED,OKE,Undirected
CEG,OKE,Undirected
DTE,OKE,Undirected
ETR,OKE,Undirected
EQT,OKE,Undirected
FE,OKE,Undirected
TEG,OKE,Undirected
GAS,OKE,Undirected
NI,OKE,Undirected
NU,OKE,Undirected
MO,POM,Undirected
STZ,POM,Undirected
DF,POM,Undirected
EL,POM,Undirected
GIS,POM,Undirected
HNZ,POM,Undirected
HRL,POM,Undirected
KFT,POM,Undirected
PEP,POM,Undirected
SWY,POM,Undirected
SJM,POM,Undirected
TSN,POM,Undirected
AEE,POM,Undirected
CNP,POM,Undirected
CMS,POM,Undirected
ED,POM,Undirected
CEG,POM,Undirected
D,POM,Undirected
DTE,POM,Undirected
DUK,POM,Undirected
EIX,POM,Undirected
ETR,POM,Undirected
EQT,POM,Undirected
FE,POM,Undirected
TEG,POM,Undirected
NEE,POM,Undirected
GAS,POM,Undirected
NI,POM,Undirected
NU,POM,Undirected
CPB,PCG,Undirected
AEE,PCG,Undirected
AEP,PCG,Undirected
CNP,PCG,Undirected
DTE,PCG,Undirected
EIX,PCG,Undirected
ETR,PCG,Undirected
EQT,PCG,Undirected
TEG,PCG,Undirected
GAS,PCG,Undirected
NI,PCG,Undirected
PG,PNW,Undirected
SVU,PNW,Undirected
AES,PNW,Undirected
AEE,PNW,Undirected
AEP,PNW,Undirected
CNP,PNW,Undirected
CMS,PNW,Undirected
ED,PNW,Undirected
CEG,PNW,Undirected
DTE,PNW,Undirected
DUK,PNW,Undirected
EIX,PNW,Undirected
ETR,PNW,Undirected
EQT,PNW,Undirected
EXC,PNW,Undirected
FE,PNW,Undirected
TEG,PNW,Undirected
NEE,PNW,Undirected
GAS,PNW,Undirected
NI,PNW,Undirected
NU,PNW,Undirected
PCG,PNW,Undirected
AVP,PPL,Undirected
KR,PPL,Undirected
PEP,PPL,Undirected
AEE,PPL,Undirected
D,PPL,Undirected
DUK,PPL,Undirected
EIX,PPL,Undirected
ETR,PPL,Undirected
EQT,PPL,Undirected
EXC,PPL,Undirected
FE,PPL,Undirected
NEE,PPL,Undirected
NI,PPL,Undirected
NU,PPL,Undirected
PCG,PPL,Undirected
PNW,PPL,Undirected
CCE,PGN,Undirected
TAP,PGN,Undirected
PEP,PGN,Undirected
RAI,PGN,Undirected
SJM,PGN,Undirected
TSN,PGN,Undirected
AEE,PGN,Undirected
AEP,PGN,Undirected
CNP,PGN,Undirected
CMS,PGN,Undirected
ED,PGN,Undirected
D,PGN,Undirected
DTE,PGN,Undirected
DUK,PGN,Undirected
ETR,PGN,Undirected
TEG,PGN,Undirected
NEE,PGN,Undirected
GAS,PGN,Undirected
NI,PGN,Undirected
NU,PGN,Undirected
POM,PGN,Undirected
PCG,PGN,Undirected
PNW,PGN,Undirected
AVP,SCG,Undirected
CPB,SCG,Undirected
CLX,SCG,Undirected
KO,SCG,Undirected
STZ,SCG,Undirected
COST,SCG,Undirected
DF,SCG,Undirected
HRL,SCG,Undirected
KR,SCG,Undirected
MKC,SCG,Undirected
SJM,SCG,Undirected
WAG,SCG,Undirected
WFM,SCG,Undirected
AEE,SCG,Undirected
CNP,SCG,Undirected
ED,SCG,Undirected
D,SCG,Undirected
DTE,SCG,Undirected
ETR,SCG,Undirected
EQT,SCG,Undirected
FE,SCG,Undirected
NEE,SCG,Undirected
GAS,SCG,Undirected
NI,SCG,Undirected
NU,SCG,Undirected
OKE,SCG,Undirected
POM,SCG,Undirected
PCG,SCG,Undirected
PNW,SCG,Undirected
PGN,SCG,Undirected
CLX,SRE,Undirected
KO,SRE,Undirected
SWY,SRE,Undirected
SLE,SRE,Undirected
SJM,SRE,Undirected
AES,SRE,Undirected
AEE,SRE,Undirected
AEP,SRE,Undirected
CEG,SRE,Undirected
DTE,SRE,Undirected
DUK,SRE,Undirected
EIX,SRE,Undirected
ETR,SRE,Undirected
NEE,SRE,Undirected
GAS,SRE,Undirected
NI,SRE,Undirected
NU,SRE,Undirected
OKE,SRE,Undirected
POM,SRE,Undirected
SCG,SRE,Undirected
MO,SO,Undirected
AVP,SO,Undirected
KO,SO,Undirected
CCE,SO,Undirected
CL,SO,Undirected
STZ,SO,Undirected
CVS,SO,Undirected
EL,SO,Undirected
KR,SO,Undirected
MKC,SO,Undirected
PEP,SO,Undirected
PG,SO,Undirected
RAI,SO,Undirected
SLE,SO,Undirected
SJM,SO,Undirected
WAG,SO,Undirected
WFM,SO,Undirected
AEE,SO,Undirected
AEP,SO,Undirected
ED,SO,Undirected
D,SO,Undirected
DTE,SO,Undirected
DUK,SO,Undirected
ETR,SO,Undirected
EXC,SO,Undirected
TEG,SO,Undirected
NEE,SO,Undirected
NI,SO,Undirected
OKE,SO,Undirected
POM,SO,Undirected
PNW,SO,Undirected
PPL,SO,Undirected
PGN,SO,Undirected
KO,TE,Undirected
CL,TE,Undirected
COST,TE,Undirected
GIS,TE,Undirected
MKC,TE,Undirected
PG,TE,Undirected
RAI,TE,Undirected
SWY,TE,Undirected
AEE,TE,Undirected
CNP,TE,Undirected
CMS,TE,Undirected
ED,TE,Undirected
CEG,TE,Undirected
D,TE,Undirected
DTE,TE,Undirected
DUK,TE,Undirected
ETR,TE,Undirected
EQT,TE,Undirected
EXC,TE,Undirected
TEG,TE,Undirected
GAS,TE,Undirected
NI,TE,Undirected
NU,TE,Undirected
POM,TE,Undirected
PNW,TE,Undirected
PPL,TE,Undirected
PGN,TE,Undirected
SCG,TE,Undirected
SRE,TE,Undirected
SO,TE,Undirected
AVP,WEC,Undirected
CPB,WEC,Undirected
CLX,WEC,Undirected
EL,WEC,Undirected
HNZ,WEC,Undirected
KMB,WEC,Undirected
KR,WEC,Undirected
MKC,WEC,Undirected
TAP,WEC,Undirected
PG,WEC,Undirected
SLE,WEC,Undirected
HSY,WEC,Undirected
TSN,WEC,Undirected
AEE,WEC,Undirected
AEP,WEC,Undirected
CMS,WEC,Undirected
DUK,WEC,Undirected
EIX,WEC,Undirected
ETR,WEC,Undirected
EQT,WEC,Undirected
FE,WEC,Undirected
TEG,WEC,Undirected
NEE,WEC,Undirected
GAS,WEC,Undirected
NI,WEC,Undirected
NU,WEC,Undirected
OKE,WEC,Undirected
POM,WEC,Undirected
PNW,WEC,Undirected
PPL,WEC,Undirected
PGN,WEC,Undirected
SCG,WEC,Undirected
SRE,WEC,Undirected
SO,WEC,Undirected
CPB,XEL,Undirected
KO,XEL,Undirected
STZ,XEL,Undirected
EL,XEL,Undirected
HNZ,XEL,Undirected
HRL,XEL,Undirected
KFT,XEL,Undirected
TAP,XEL,Undirected
PEP,XEL,Undirected
PG,XEL,Undirected
RAI,XEL,Undirected
SLE,XEL,Undirected
SJM,XEL,Undirected
TSN,XEL,Undirected
WAG,XEL,Undirected
WFM,XEL,Undirected
AEE,XEL,Undirected
AEP,XEL,Undirected
CNP,XEL,Undirected
CMS,XEL,Undirected
ED,XEL,Undirected
CEG,XEL,Undirected
D,XEL,Undirected
DTE,XEL,Undirected
DUK,XEL,Undirected
EIX,XEL,Undirected
EXC,XEL,Undirected
TEG,XEL,Undirected
NEE,XEL,Undirected
NI,XEL,Undirected
NU,XEL,Undirected
PCG,XEL,Undirected
PNW,XEL,Undirected
PPL,XEL,Undirected
PGN,XEL,Undirected
SCG,XEL,Undirected
SRE,XEL,Undirected
SO,XEL,Undirected
TE,XEL,Undirected
WEC,XEL,Undirected
AVP,APC,Undirected
HRL,APC,Undirected
PEP,APC,Undirected
SYY,APC,Undirected
TSN,APC,Undirected
TEG,APC,Undirected
NI,APC,Undirected
PGN,APC,Undirected
SRE,APC,Undirected
CPB,APA,Undirected
CCE,APA,Undirected
STZ,APA,Undirected
HRL,APA,Undirected
KFT,APA,Undirected
SWY,APA,Undirected
SLE,APA,Undirected
SJM,APA,Undirected
SYY,APA,Undirected
CNP,APA,Undirected
CEG,APA,Undirected
EIX,APA,Undirected
EQT,APA,Undirected
GAS,APA,Undirected
OKE,APA,Undirected
SO,APA,Undirected
TE,APA,Undirected
WEC,APA,Undirected
APC,APA,Undirected
ADM,BHI,Undirected
STZ,BHI,Undirected
CVS,BHI,Undirected
AES,BHI,Undirected
AEE,BHI,Undirected
DTE,BHI,Undirected
TEG,BHI,Undirected
PGN,BHI,Undirected
APC,BHI,Undirected
APA,BHI,Undirected
MO,COG,Undirected
AVP,COG,Undirected
COST,COG,Undirected
CVS,COG,Undirected
EL,COG,Undirected
GIS,COG,Undirected
HNZ,COG,Undirected
TAP,COG,Undirected
RAI,COG,Undirected
SLE,COG,Undirected
TSN,COG,Undirected
AEP,COG,Undirected
CMS,COG,Undirected
D,COG,Undirected
GAS,COG,Undirected
OKE,COG,Undirected
PGN,COG,Undirected
APA,COG,Undirected
BHI,COG,Undirected
TAP,CAM,Undirected
OKE,CAM,Undirected
APA,CAM,Undirected
COG,CAM,Undirected
DF,CHK,Undirected
GIS,CHK,Undirected
K,CHK,Undirected
KMB,CHK,Undirected
TAP,CHK,Undirected
SWY,CHK,Undirected
SYY,CHK,Undirected
WFM,CHK,Undirected
AES,CHK,Undirected
CEG,CHK,Undirected
DUK,CHK,Undirected
EQT,CHK,Undirected
APC,CHK,Undirected
APA,CHK,Undirected
COG,CHK,Undirected
CAM,CHK,Undirected
MO,CVX,Undirected
ADM,CVX,Undirected
CCE,CVX,Undirected
CL,CVX,Undirected
COST,CVX,Undirected
CVS,CVX,Undirected
K,CVX,Undirected
KFT,CVX,Undirected
MKC,CVX,Undirected
TAP,CVX,Undirected
SYY,CVX,Undirected
TSN,CVX,Undirected
WFM,CVX,Undirected
AES,CVX,Undirected
EQT,CVX,Undirected
TEG,CVX,Undirected
GAS,CVX,Undirected
NI,CVX,Undirected
NU,CVX,Undirected
PPL,CVX,Undirected
SRE,CVX,Undirected
APA,CVX,Undirected
CAM,CVX,Undirected
CLX,COP,Undirected
DF,COP,Undirected
KR,COP,Undirected
TSN,COP,Undirected
AES,COP,Undirected
EQT,COP,Undirected
GAS,COP,Undirected
NI,COP,Undirected
SCG,COP,Undirected
SO,COP,Undirected
APC,COP,Undirected
APA,COP,Undirected
COG,COP,Undirected
CHK,COP,Undirected
CVX,COP,Undirected
ADM,CNX,Undirected
KO,CNX,Undirected
STZ,CNX,Undirected
GIS,CNX,Undirected
PG,CNX,Undirected
SVU,CNX,Undirected
HSY,CNX,Undirected
WMT,CNX,Undirected
DTE,CNX,Undirected
EQT,CNX,Undirected
GAS,CNX,Undirected
OKE,CNX,Undirected
POM,CNX,Undirected
PCG,CNX,Undirected
APA,CNX,Undirected
COG,CNX,Undirected
CHK,CNX,Undirected
ADM,DNR,Undirected
CLX,DNR,Undirected
STZ,DNR,Undirected
HNZ,DNR,Undirected
HRL,DNR,Undirected
MKC,DNR,Undirected
SWY,DNR,Undirected
WMT,DNR,Undirected
CEG,DNR,Undirected
EQT,DNR,Undirected
EXC,DNR,Undirected
OKE,DNR,Undirected
PPL,DNR,Undirected
APC,DNR,Undirected
APA,DNR,Undirected
COG,DNR,Undirected
CHK,DNR,Undirected
COP,DNR,Undirected
AVP,DVN,Undirected
CLX,DVN,Undirected
STZ,DVN,Undirected
CVS,DVN,Undirected
KMB,DVN,Undirected
TAP,DVN,Undirected
RAI,DVN,Undirected
SJM,DVN,Undirected
WMT,DVN,Undirected
WAG,DVN,Undirected
WFM,DVN,Undirected
AES,DVN,Undirected
EIX,DVN,Undirected
EXC,DVN,Undirected
TEG,DVN,Undirected
NEE,DVN,Undirected
PGN,DVN,Undirected
SCG,DVN,Undirected
SO,DVN,Undirected
TE,DVN,Undirected
WEC,DVN,Undirected
APC,DVN,Undirected
APA,DVN,Undirected
COG,DVN,Undirected
CHK,DVN,Undirected
CVX,DVN,Undirected
COP,DVN,Undirected
DNR,DVN,Undirected
KO,DO,Undirected
CL,DO,Undirected
KMB,DO,Undirected
PG,DO,Undirected
WAG,DO,Undirected
CNP,DO,Undirected
DUK,DO,Undirected
FE,DO,Undirected
APC,DO,Undirected
APA,DO,Undirected
BHI,DO,Undirected
CAM,DO,Undirected
COP,DO,Undirected
DNR,DO,Undirected
DVN,DO,Undirected
MO,EP,Undirected
HSY,EP,Undirected
AES,EP,Undirected
AEE,EP,Undirected
CNP,EP,Undirected
NEE,EP,Undirected
NI,EP,Undirected
XEL,EP,Undirected
APC,EP,Undirected
APA,EP,Undirected
CHK,EP,Undirected
DVN,EP,Undirected
MO,EOG,Undirected
SVU,EOG,Undirected
WAG,EOG,Undirected
AEP,EOG,Undirected
D,EOG,Undirected
DUK,EOG,Undirected
EQT,EOG,Undirected
OKE,EOG,Undirected
APC,EOG,Undirected
APA,EOG,Undirected
COG,EOG,Undirected
CAM,EOG,Undirected
